Code,Item,Modificadores,Categoria,Subcategoria
Sushi Sunday,Domingos locos,"Tentación Roll,Tentación Roll",ROLLING SUSHI,PROMO
M183,Crush Uva,,ROLLING SUSHI,Bebida Rolling
M177,7up,,ROLLING SUSHI,Bebida Rolling
Sushi Sunday,Domingos locos,"Philadephia Roll,Philadephia Roll",ROLLING SUSHI,PROMO
M209,Hatsu Blanco,,ROLLING SUSHI,Bebida Rolling
M210,Hatsu Turquesa,,ROLLING SUSHI,Bebida Rolling
M180,Squirt,,ROLLING SUSHI,Bebida Rolling
M212,Pie de Limon,,ZALADA,Postres ZALADAS
M207,Hatsu Rojo,,ROLLING SUSHI,Bebida Rolling
M202,Mochi chocolate,,ROLLING SUSHI,Mochi
MK019,jueves date,"Tentacion,Sokudo Roll",ROLLING SUSHI,PROMO
IT022PEYA,Nigiri de atun.,,ROLLING SUSHI,NIGIRIS
MK019,jueves date,"Xtreme Salmon,Birria Roll",ROLLING SUSHI,PROMO
M213,Matcha Tiramisu,,ROLLING SUSHI,Postres Rolling Sushi
